"Source:","\\ad.uillinois.edu\engr-ews\zyxie2\Documents\KiCad\Digital Target Backups\Rev8\Projects_zyxie2\ECE395_Digital_Target\ECE395_Digital_Target.kicad_sch"
"Date:","11/7/2023 6:51:45 PM"
"Tool:","Eeschema (6.0.5)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","132"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Check_prices","Description","MANUFACTURER","MF","MP","PART_REV","Package","Purchase-URL","STANDARD","SnapEDA_Link"
"","","10uF1","0.00001","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
"","","10uF2","0.00001","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
"","","10uF3","0.00001","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
"","","10uF4","0.00001","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
"","","C201","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
"","","C202","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
"","","C203","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
"","","C204","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
"","","C205","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
"","","C206","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
"","","C207","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
"","","C208","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
"","","C209","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
"","","C211","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
"","","C212","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
"","","C213","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
"","","C214","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
"","","C215","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
"","","C216","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
"","","C217","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
"","","C218","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
"","","C219","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
"","","C221","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
"","","C222","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
"","","C223","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
"","","C224","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
"","","C225","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
"","","C226","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
"","","C227","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
"","","C228","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
"","","C229","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
"","","C231","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
"","","C232","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
"","","C233","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
"","","C234","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
"","","C235","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
"","","C236","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
"","","C237","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
"","","C238","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
"","","C239","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
"","","C240","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
"","","C241","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
"","","C242","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
"","","C250","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
"","","C251","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
"","","C252","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
"","","C300","C","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
"","","CR1","LD1117SC-R","Digital_Target:LD1117SC-R","Digital_Target:LD1117SC_R","LD1117SC-R","","","","","","","","","",""
"","","CR2","LD1117SC-R","Digital_Target:LD1117SC-R","Digital_Target:LD1117SC_R","LD1117SC-R","","","","","","","","","",""
"","","D1","LED","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","","",""
"","","D2","LED","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","","",""
"","","D3","LED","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","","",""
"","","D4","LED","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","","",""
"","","D5","LED","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","","",""
"","","D6","LED","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","","",""
"","","D7","LED","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","","",""
"","","D8","LED","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","","",""
"","","D9","LED","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","","",""
"","","J0","PJ-202AH","Digital_Target:PJ-202AH","Digital_Target:PJ_202AH","","","","CUI INC","","","1.02","","","Manufacturer recommendations",""
"","","J1","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Horizontal","~","","","","","","","","","",""
"","","J2","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Horizontal","~","","","","","","","","","",""
"","","J3","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Horizontal","~","","","","","","","","","",""
"","","J4","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Horizontal","~","","","","","","","","","",""
"","","J5","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Horizontal","~","","","","","","","","","",""
"","","J6","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Horizontal","~","","","","","","","","","",""
"","","J7","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Horizontal","~","","","","","","","","","",""
"","","J8","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Horizontal","~","","","","","","","","","",""
"","","J9","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Horizontal","~","","","","","","","","","",""
"","","NOT1","SN74LS04DR","Digital_Target:SN74LS04DR","Digital_Target:SN74LS04DR","","https://www.snapeda.com/parts/SN74LS04DR/Texas+Instruments/view-part/?ref=eda","6-ch, 4.75-V to 5.25-V bipolar inverters","","Texas Instruments","SN74LS04DR","","SOIC-14 Texas Instruments","https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=386009&manufacturer=Texas Instruments&part_name=SN74LS04DR&search_term=None","","https://www.snapeda.com/parts/SN74LS04DR/Texas+Instruments/view-part/?ref=snap"
"","","NOT2","SN74LS04DR","Digital_Target:SN74LS04DR","Digital_Target:SN74LS04DR","","https://www.snapeda.com/parts/SN74LS04DR/Texas+Instruments/view-part/?ref=eda","6-ch, 4.75-V to 5.25-V bipolar inverters","","Texas Instruments","SN74LS04DR","","SOIC-14 Texas Instruments","https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=386009&manufacturer=Texas Instruments&part_name=SN74LS04DR&search_term=None","","https://www.snapeda.com/parts/SN74LS04DR/Texas+Instruments/view-part/?ref=snap"
"","","OP1","TLC271CDR","Digital_Target:TLC271CDR","Digital_Target:TLC271CDR","","https://www.snapeda.com/parts/TLC271CDR/Texas+Instruments/view-part/?ref=eda","Single, 16-V, 2-MHz, In to V- operational amplifier","","Texas Instruments","TLC271CDR","","SOIC-8 Texas Instruments","https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=432739&manufacturer=Texas Instruments&part_name=TLC271CDR&search_term=None","","https://www.snapeda.com/parts/TLC271CDR/Texas+Instruments/view-part/?ref=snap"
"","","OP2","TLC271CDR","Digital_Target:TLC271CDR","Digital_Target:TLC271CDR","","https://www.snapeda.com/parts/TLC271CDR/Texas+Instruments/view-part/?ref=eda","Single, 16-V, 2-MHz, In to V- operational amplifier","","Texas Instruments","TLC271CDR","","SOIC-8 Texas Instruments","https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=432739&manufacturer=Texas Instruments&part_name=TLC271CDR&search_term=None","","https://www.snapeda.com/parts/TLC271CDR/Texas+Instruments/view-part/?ref=snap"
"","","OP3","TLC271CDR","Digital_Target:TLC271CDR","Digital_Target:TLC271CDR","","https://www.snapeda.com/parts/TLC271CDR/Texas+Instruments/view-part/?ref=eda","Single, 16-V, 2-MHz, In to V- operational amplifier","","Texas Instruments","TLC271CDR","","SOIC-8 Texas Instruments","https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=432739&manufacturer=Texas Instruments&part_name=TLC271CDR&search_term=None","","https://www.snapeda.com/parts/TLC271CDR/Texas+Instruments/view-part/?ref=snap"
"","","OP4","TLC271CDR","Digital_Target:TLC271CDR","Digital_Target:TLC271CDR","","https://www.snapeda.com/parts/TLC271CDR/Texas+Instruments/view-part/?ref=eda","Single, 16-V, 2-MHz, In to V- operational amplifier","","Texas Instruments","TLC271CDR","","SOIC-8 Texas Instruments","https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=432739&manufacturer=Texas Instruments&part_name=TLC271CDR&search_term=None","","https://www.snapeda.com/parts/TLC271CDR/Texas+Instruments/view-part/?ref=snap"
"","","OP5","TLC271CDR","Digital_Target:TLC271CDR","Digital_Target:TLC271CDR","","https://www.snapeda.com/parts/TLC271CDR/Texas+Instruments/view-part/?ref=eda","Single, 16-V, 2-MHz, In to V- operational amplifier","","Texas Instruments","TLC271CDR","","SOIC-8 Texas Instruments","https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=432739&manufacturer=Texas Instruments&part_name=TLC271CDR&search_term=None","","https://www.snapeda.com/parts/TLC271CDR/Texas+Instruments/view-part/?ref=snap"
"","","OP6","TLC271CDR","Digital_Target:TLC271CDR","Digital_Target:TLC271CDR","","https://www.snapeda.com/parts/TLC271CDR/Texas+Instruments/view-part/?ref=eda","Single, 16-V, 2-MHz, In to V- operational amplifier","","Texas Instruments","TLC271CDR","","SOIC-8 Texas Instruments","https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=432739&manufacturer=Texas Instruments&part_name=TLC271CDR&search_term=None","","https://www.snapeda.com/parts/TLC271CDR/Texas+Instruments/view-part/?ref=snap"
"","","OP7","TLC271CDR","Digital_Target:TLC271CDR","Digital_Target:TLC271CDR","","https://www.snapeda.com/parts/TLC271CDR/Texas+Instruments/view-part/?ref=eda","Single, 16-V, 2-MHz, In to V- operational amplifier","","Texas Instruments","TLC271CDR","","SOIC-8 Texas Instruments","https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=432739&manufacturer=Texas Instruments&part_name=TLC271CDR&search_term=None","","https://www.snapeda.com/parts/TLC271CDR/Texas+Instruments/view-part/?ref=snap"
"","","OP8","TLC271CDR","Digital_Target:TLC271CDR","Digital_Target:TLC271CDR","","https://www.snapeda.com/parts/TLC271CDR/Texas+Instruments/view-part/?ref=eda","Single, 16-V, 2-MHz, In to V- operational amplifier","","Texas Instruments","TLC271CDR","","SOIC-8 Texas Instruments","https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=432739&manufacturer=Texas Instruments&part_name=TLC271CDR&search_term=None","","https://www.snapeda.com/parts/TLC271CDR/Texas+Instruments/view-part/?ref=snap"
"","","OP9","TLC271CDR","Digital_Target:TLC271CDR","Digital_Target:TLC271CDR","","https://www.snapeda.com/parts/TLC271CDR/Texas+Instruments/view-part/?ref=eda","Single, 16-V, 2-MHz, In to V- operational amplifier","","Texas Instruments","TLC271CDR","","SOIC-8 Texas Instruments","https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=432739&manufacturer=Texas Instruments&part_name=TLC271CDR&search_term=None","","https://www.snapeda.com/parts/TLC271CDR/Texas+Instruments/view-part/?ref=snap"
"","","R1","380","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","","",""
"","","R2","380","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","","",""
"","","R3","380","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","","",""
"","","R4","380","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","","",""
"","","R5","380","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","","",""
"","","R6","380","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","","",""
"","","R7","380","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","","",""
"","","R8","380","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","","",""
"","","R9","380","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","","",""
"","","R11","20000","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","","",""
"","","R12","20000","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","","",""
"","","R13","20000","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","","",""
"","","R14","20000","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","","",""
"","","R15","20000","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","","",""
"","","R16","20000","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","","",""
"","","R17","20000","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","","",""
"","","R18","20000","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","","",""
"","","R19","20000","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","","",""
"","","R21","100000","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","","",""
"","","R22","100000","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","","",""
